FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
180107;1400;18;;;
180107;1500;15;;;
180107;1600;18;;;
180107;1700;12;;;
180107;1800;10;;;
180107;1900;9;;;
180107;2000;9;;;
180107;2100;7;;;
180107;2200;8;;;
180107;2300;11;;;
180108;0000;10;;;
180108;0100;8;;;
180108;0200;14;;;
180108;0300;11;;;
180108;0400;12;;;
180108;0500;12;;;
180108;0600;15;;;
180108;0700;12;;;
180108;0800;14;;;
180108;0900;18;;;
180108;1000;13;;;
180108;1100;13;;;
180108;1200;13;;;
180108;1300;13;;;
180108;1400;10;;;
180108;1500;10;;;
180108;1600;7;;;
180108;1700;15;;;
180108;1800;16;;;
180108;1900;13;;;
180108;2000;10;;;
180108;2100;10;;;
180108;2200;17;;;
180108;2300;14;;;
180109;0000;14;;;
180109;0100;12;;;
180109;0200;14;;;
180109;0300;13;;;
180109;0400;15;;;
180109;0500;16;;;
180109;0600;16;;;
180109;0700;19;;;
180109;0800;21;;;
180109;0900;19;;;
180109;1000;21;;;
180109;1100;19;;;
180109;1200;17;;;
180109;1300;12;;;
180109;1400;9;;;
180109;1500;11;;;
180109;1600;12;;;
180109;1700;13;;;
180109;1800;12;;;
180109;1900;9;;;
180109;2000;12;;;
180109;2100;9;;;
180109;2200;18;;;
180109;2300;23;;;
180110;0000;14;;;
180110;0100;17;;;
180110;0200;22;;;
180110;0300;18;;;
180110;0400;14;;;
180110;0500;11;;;
180110;0600;27;;;
180110;0700;24;;;
180110;0800;20;;;
180110;0900;20;;;
180110;1000;25;;;
180110;1100;18;;;
180110;1200;19;;;
180110;1300;28;;;
180110;1400;15;;;
180110;1500;16;;;
180110;1600;15;;;
180110;1700;12;;;
180110;1800;9;;;
180110;1900;8;;;
180110;2000;7;;;
180110;2100;11;;;
180110;2200;17;;;
180110;2300;13;;;
180111;0000;13;;;
180111;0100;9;;;
180111;0200;12;;;
180111;0300;14;;;
180111;0400;15;;;
180111;0500;13;;;
180111;0600;17;;;
180111;0700;20;;;
180111;0800;21;;;
180111;0900;19;;;
180111;1000;20;;;
180111;1100;19;;;
180111;1200;31;;;
180111;1300;17;;;
180111;1400;14;;;
180111;1500;;;;
180111;1600;;;;
180111;1700;18;;;
180111;1800;16;;;
180111;1900;17;;;
180111;2000;18;;;
180111;2100;16;;;
180111;2200;18;;;
180111;2300;21;;;
180112;0000;16;;;
180112;0100;14;;;
180112;0200;12;;;
180112;0300;12;;;
180112;0400;14;;;
180112;0500;18;;;
180112;0600;26;;;
180112;0700;26;;;
180112;0800;23;;;
180112;0900;19;;;
180112;1000;24;;;
180112;1100;20;;;
180112;1200;18;;;
180112;1300;18;;;
180112;1400;17;;;
180112;1500;21;;;
180112;1600;15;;;
180112;1700;13;;;
180112;1800;15;;;
180112;1900;12;;;
180112;2000;16;;;
180112;2100;11;;;
180112;2200;13;;;
180112;2300;29;;;
180113;0000;28;;;
180113;0100;17;;;
180113;0200;10;;;
180113;0300;26;;;
180113;0400;14;;;
180113;0500;16;;;
180113;0600;25;;;
180113;0700;25;;;
180113;0800;19;;;
180113;0900;17;;;
180113;1000;16;;;
180113;1100;19;;;
180113;1200;22;;;
180113;1300;23;;;
180113;1400;17;;;
180113;1500;17;;;
180113;1600;14;;;
180113;1700;14;;;
180113;1800;15;;;
180113;1900;14;;;
180113;2000;19;;;
180113;2100;24;;;
180113;2200;40;;;
180113;2300;23;;;
180114;0000;25;;;
180114;0100;21;;;
180114;0200;23;;;
180114;0300;19;;;
180114;0400;24;;;
180114;0500;22;;;
180114;0600;;;;
180114;0700;23;;;
180114;0800;25;;;
180114;0900;24;;;
180114;1000;18;;;
180114;1100;17;;;
180114;1200;24;;;
180114;1300;27;;;
180114;1400;18;;;
180114;1500;17;;;
180114;1600;15;;;
180114;1700;15;;;
180114;1800;14;;;
180114;1900;15;;;
180114;2000;17;;;
180114;2100;14;;;
180114;2200;13;;;
180114;2300;13;;;
180115;0000;8;;;
180115;0100;7;;;
180115;0200;12;;;
180115;0300;14;;;
180115;0400;12;;;
180115;0500;14;;;
180115;0600;17;;;
180115;0700;15;;;
180115;0800;18;;;
180115;0900;20;;;
180115;1000;21;;;
180115;1100;20;;;
180115;1200;20;;;
180115;1300;19;;;
180115;1400;12;;;
180115;1500;16;;;
180115;1600;13;;;
180115;1700;18;;;
180115;1800;13;;;
180115;1900;12;;;
180115;2000;11;;;
180115;2100;16;;;
180115;2200;12;;;
180115;2300;15;;;
180116;0000;13;;;
180116;0100;12;;;
180116;0200;10;;;
180116;0300;14;;;
180116;0400;13;;;
180116;0500;10;;;
180116;0600;8;;;
180116;0700;16;;;
180116;0800;18;;;
180116;0900;18;;;
180116;1000;17;;;
180116;1100;21;;;
180116;1200;22;;;
180116;1300;18;;;
180116;1400;14;;;
180116;1500;10;;;
180116;1600;9;;;
180116;1700;10;;;
180116;1800;10;;;
180116;1900;9;;;
180116;2000;10;;;
180116;2100;9;;;
180116;2200;6;;;
180116;2300;11;;;
180117;0000;13;;;
180117;0100;11;;;
180117;0200;10;;;
180117;0300;11;;;
180117;0400;12;;;
180117;0500;10;;;
180117;0600;23;;;
180117;0700;17;;;
180117;0800;15;;;
180117;0900;17;;;
180117;1000;22;;;
180117;1100;16;;;
180117;1200;15;;;
180117;1300;20;;;
180117;1400;17;;;
180117;1500;16;;;
180117;1600;12;;;
180117;1700;12;;;
180117;1800;19;;;
180117;1900;16;;;
180117;2000;13;;;
180117;2100;10;;;
180117;2200;15;;;
180117;2300;17;;;
180118;0000;18;;;
180118;0100;17;;;
180118;0200;16;;;
180118;0300;16;;;
180118;0400;16;;;
180118;0500;14;;;
180118;0600;19;;;
180118;0700;17;;;
180118;0800;19;;;
180118;0900;15;;;
180118;1000;18;;;
180118;1100;20;;;
180118;1200;15;;;
180118;1300;13;;;
180118;1400;12;;;
180118;1500;13;;;
180118;1600;13;;;
180118;1700;11;;;
180118;1800;10;;;
180118;1900;15;;;
180118;2000;14;;;
180118;2100;13;;;
180118;2200;9;;;
180118;2300;11;;;
180119;0000;9;;;
180119;0100;13;;;
180119;0200;15;;;
180119;0300;12;;;
180119;0400;13;;;
180119;0500;14;;;
180119;0600;24;;;
180119;0700;19;;;
180119;0800;20;;;
180119;0900;14;;;
180119;1000;21;;;
180119;1100;13;;;
180119;1200;10;;;
180119;1300;12;;;
180119;1400;14;;;
180119;1500;13;;;
180119;1600;11;;;
180119;1700;15;;;
180119;1800;14;;;
180119;1900;13;;;
180119;2000;13;;;
180119;2100;22;;;
180119;2200;29;;;
180119;2300;23;;;
180120;0000;7;;;
180120;0100;11;;;
180120;0200;11;;;
180120;0300;13;;;
180120;0400;9;;;
180120;0500;17;;;
180120;0600;20;;;
180120;0700;15;;;
180120;0800;14;;;
180120;0900;26;;;
180120;1000;24;;;
180120;1100;25;;;
180120;1200;41;;;
180120;1300;34;;;
180120;1400;30;;;
180120;1500;36;;;
180120;1600;30;;;
180120;1700;18;;;
180120;1800;18;;;
180120;1900;20;;;
180120;2000;19;;;
180120;2100;21;;;
180120;2200;15;;;
180120;2300;15;;;
180121;0000;14;;;
180121;0100;10;;;
180121;0200;9;;;
180121;0300;8;;;
180121;0400;14;;;
180121;0500;18;;;
180121;0600;17;;;
180121;0700;24;;;
180121;0800;19;;;
180121;0900;22;;;
180121;1000;28;;;
180121;1100;26;;;
180121;1200;17;;;
180121;1300;13;;;
180121;1400;19;;;
180121;1500;16;;;
180121;1600;11;;;
180121;1700;15;;;
180121;1800;16;;;
180121;1900;16;;;
180121;2000;15;;;
180121;2100;14;;;
180121;2200;13;;;
180121;2300;17;;;
180122;0000;18;;;
180122;0100;13;;;
180122;0200;13;;;
180122;0300;14;;;
180122;0400;17;;;
180122;0500;19;;;
180122;0600;20;;;
180122;0700;26;;;
180122;0800;23;;;
180122;0900;27;;;
180122;1000;33;;;
180122;1100;16;;;
180122;1200;20;;;
180122;1300;19;;;
180122;1400;17;;;
180122;1500;16;;;
180122;1600;17;;;
180122;1700;14;;;
180122;1800;15;;;
180122;1900;12;;;
180122;2000;13;;;
180122;2100;9;;;
180122;2200;18;;;
180122;2300;19;;;
180123;0000;16;;;
180123;0100;23;;;
180123;0200;11;;;
180123;0300;20;;;
180123;0400;14;;;
180123;0500;16;;;
180123;0600;24;;;
180123;0700;23;;;
180123;0800;32;;;
180123;0900;24;;;
180123;1000;30;;;
180123;1100;26;;;
180123;1200;24;;;
180123;1300;17;;;
180123;1400;13;;;
180123;1500;13;;;
180123;1600;8;;;
180123;1700;8;;;
180123;1800;10;;;
180123;1900;14;;;
180123;2000;15;;;
180123;2100;20;;;
180123;2200;21;;;
180123;2300;18;;;
180124;0000;42;;;
180124;0100;32;;;
180124;0200;25;;;
180124;0300;15;;;
180124;0400;11;;;
180124;0500;16;;;
180124;0600;23;;;
180124;0700;22;;;
180124;0800;27;;;
180124;0900;24;;;
180124;1000;24;;;
180124;1100;12;;;
180124;1200;25;;;
180124;1300;14;;;
180124;1400;14;;;
180124;1500;11;;;
180124;1600;9;;;
180124;1700;12;;;
180124;1800;14;;;
180124;1900;15;;;
180124;2000;18;;;
180124;2100;21;;;
180124;2200;15;;;
180124;2300;18;;;
180125;0000;17;;;
180125;0100;10;;;
180125;0200;9;;;
180125;0300;12;;;
180125;0400;13;;;
180125;0500;20;;;
180125;0600;25;;;
180125;0700;23;;;
180125;0800;20;;;
180125;0900;22;;;
180125;1000;22;;;
180125;1100;22;;;
180125;1200;18;;;
180125;1300;21;;;
180125;1400;19;;;
180125;1500;8;;;
180125;1600;14;;;
180125;1700;12;;;
180125;1800;10;;;
180125;1900;16;;;
180125;2000;14;;;
180125;2100;12;;;
180125;2200;15;;;
180125;2300;14;;;
180126;0000;13;;;
180126;0100;13;;;
180126;0200;31;;;
180126;0300;14;;;
180126;0400;15;;;
180126;0500;18;;;
180126;0600;23;;;
180126;0700;27;;;
180126;0800;17;;;
180126;0900;20;;;
180126;1000;24;;;
180126;1100;19;;;
180126;1200;14;;;
180126;1300;13;;;
180126;1400;19;;;
180126;1500;15;;;
180126;1600;11;;;
180126;1700;8;;;
180126;1800;11;;;
180126;1900;16;;;
180126;2000;12;;;
180126;2100;15;;;
180126;2200;16;;;
180126;2300;26;;;
180127;0000;16;;;
180127;0100;15;;;
180127;0200;21;;;
180127;0300;19;;;
180127;0400;18;;;
180127;0500;18;;;
180127;0600;15;;;
180127;0700;17;;;
180127;0800;22;;;
180127;0900;22;;;
180127;1000;20;;;
180127;1100;14;;;
180127;1200;10;;;
180127;1300;10;;;
180127;1400;10;;;
180127;1500;7;;;
180127;1600;8;;;
180127;1700;9;;;
180127;1800;11;;;
180127;1900;10;;;
180127;2000;12;;;
180127;2100;21;;;
180127;2200;22;;;
180127;2300;21;;;
180128;0000;16;;;
180128;0100;16;;;
180128;0200;15;;;
180128;0300;15;;;
180128;0400;18;;;
180128;0500;14;;;
180128;0600;14;;;
180128;0700;10;;;
180128;0800;9;;;
180128;0900;8;;;
180128;1000;13;;;
180128;1100;12;;;
180128;1200;7;;;
180128;1300;6;;;
180128;1400;6;;;
180128;1500;8;;;
180128;1600;7;;;
180128;1700;9;;;
180128;1800;31;;;
180128;1900;19;;;
180128;2000;20;;;
180128;2100;18;;;
180128;2200;21;;;
180128;2300;20;;;
180129;0000;23;;;
180129;0100;19;;;
180129;0200;18;;;
180129;0300;22;;;
180129;0400;18;;;
180129;0500;23;;;
180129;0600;22;;;
180129;0700;20;;;
180129;0800;20;;;
180129;0900;16;;;
180129;1000;16;;;
180129;1100;21;;;
180129;1200;16;;;
180129;1300;8;;;
180129;1400;15;;;
180129;1500;15;;;
180129;1600;15;;;
180129;1700;17;;;
180129;1800;15;;;
180129;1900;16;;;
180129;2000;15;;;
180129;2100;18;;;
180129;2200;20;;;
180129;2300;10;;;
180130;0000;9;;;
180130;0100;10;;;
180130;0200;14;;;
180130;0300;14;;;
180130;0400;16;;;
180130;0500;12;;;
180130;0600;20;;;
180130;0700;19;;;
180130;0800;26;;;
180130;0900;23;;;
180130;1000;25;;;
180130;1100;22;;;
180130;1200;17;;;
180130;1300;20;;;
180130;1400;19;;;
180130;1500;18;;;
180130;1600;14;;;
180130;1700;17;;;
180130;1800;16;;;
180130;1900;19;;;
180130;2000;18;;;
180130;2100;20;;;
180130;2200;21;;;
180130;2300;15;;;
180131;0000;17;;;
180131;0100;17;;;
180131;0200;14;;;
180131;0300;14;;;
180131;0400;17;;;
180131;0500;18;;;
180131;0600;16;;;
180131;0700;19;;;
180131;0800;20;;;
180131;0900;18;;;
180131;1000;19;;;
180131;1100;21;;;
180131;1200;20;;;
180131;1300;18;;;
180131;1400;22;;;
180131;1500;14;;;
180131;1600;18;;;
180131;1700;17;;;
180131;1800;15;;;
180131;1900;16;;;
180131;2000;20;;;
180131;2100;14;;;
180131;2200;19;;;
180131;2300;23;;;
180201;0000;13;;;
180201;0100;14;;;
180201;0200;21;;;
180201;0300;17;;;
180201;0400;17;;;
180201;0500;21;;;
180201;0600;18;;;
180201;0700;24;;;
180201;0800;23;;;
180201;0900;21;;;
180201;1000;27;;;
180201;1100;22;;;
180201;1200;18;;;
180201;1300;15;;;
180201;1400;19;;;
180201;1500;19;;;
180201;1600;16;;;
180201;1700;21;;;
180201;1800;17;;;
180201;1900;25;;;
180201;2000;103;;;
180201;2100;118;;;
180201;2200;30;;;
180201;2300;19;;;
180202;0000;16;;;
180202;0100;16;;;
180202;0200;22;;;
180202;0300;26;;;
180202;0400;19;;;
180202;0500;24;;;
180202;0600;28;;;
180202;0700;34;;;
180202;0800;21;;;
180202;0900;25;;;
180202;1000;28;;;
180202;1100;23;;;
180202;1200;27;;;
180202;1300;20;;;
180202;1400;22;;;
180202;1500;22;;;
180202;1600;26;;;
180202;1700;21;;;
180202;1800;21;;;
180202;1900;21;;;
180202;2000;22;;;
180202;2100;19;;;
180202;2200;22;;;
180202;2300;26;;;
180203;0000;25;;;
180203;0100;25;;;
180203;0200;25;;;
180203;0300;20;;;
180203;0400;16;;;
180203;0500;15;;;
180203;0600;15;;;
180203;0700;21;;;
180203;0800;18;;;
180203;0900;28;;;
180203;1000;34;;;
180203;1100;27;;;
180203;1200;23;;;
180203;1300;23;;;
180203;1400;19;;;
180203;1500;17;;;
180203;1600;18;;;
180203;1700;17;;;
180203;1800;17;;;
180203;1900;18;;;
180203;2000;22;;;
180203;2100;24;;;
180203;2200;20;;;
180203;2300;17;;;
180204;0000;19;;;
180204;0100;18;;;
180204;0200;16;;;
180204;0300;13;;;
180204;0400;20;;;
180204;0500;21;;;
180204;0600;27;;;
180204;0700;29;;;
180204;0800;29;;;
180204;0900;26;;;
180204;1000;29;;;
180204;1100;18;;;
180204;1200;21;;;
180204;1300;19;;;
180204;1400;20;;;
180204;1500;19;;;
180204;1600;19;;;
180204;1700;18;;;
180204;1800;17;;;
180204;1900;16;;;
180204;2000;15;;;
180204;2100;12;;;
180204;2200;17;;;
180204;2300;14;;;
180205;0000;11;;;
180205;0100;17;;;
180205;0200;11;;;
180205;0300;17;;;
180205;0400;13;;;
180205;0500;19;;;
180205;0600;27;;;
180205;0700;23;;;
180205;0800;19;;;
180205;0900;20;;;
180205;1000;24;;;
180205;1100;21;;;
180205;1200;15;;;
180205;1300;17;;;
180205;1400;14;;;
180205;1500;16;;;
180205;1600;20;;;
180205;1700;20;;;
180205;1800;19;;;
180205;1900;12;;;
180205;2000;16;;;
180205;2100;11;;;
180205;2200;13;;;
180205;2300;10;;;
180206;0000;40;;;
180206;0100;12;;;
180206;0200;17;;;
180206;0300;16;;;
180206;0400;24;;;
180206;0500;15;;;
180206;0600;18;;;
180206;0700;15;;;
180206;0800;21;;;
180206;0900;36;;;
180206;1000;23;;;
180206;1100;21;;;
180206;1200;21;;;
180206;1300;17;;;
180206;1400;21;;;
180206;1500;15;;;
180206;1600;14;;;
180206;1700;13;;;
180206;1800;12;;;
180206;1900;17;;;
180206;2000;17;;;
180206;2100;11;;;
180206;2200;13;;;
180206;2300;21;;;
180207;0000;17;;;
180207;0100;18;;;
180207;0200;25;;;
180207;0300;15;;;
180207;0400;20;;;
180207;0500;20;;;
180207;0600;26;;;
180207;0700;17;;;
180207;0800;24;;;
180207;0900;22;;;
180207;1000;22;;;
180207;1100;22;;;
180207;1200;18;;;
180207;1300;13;;;
180207;1400;14;;;
180207;1500;18;;;
180207;1600;15;;;
180207;1700;15;;;
180207;1800;15;;;
180207;1900;15;;;
180207;2000;14;;;
180207;2100;11;;;
180207;2200;14;;;
180207;2300;10;;;
180208;0000;17;;;
180208;0100;11;;;
180208;0200;11;;;
180208;0300;16;;;
180208;0400;16;;;
180208;0500;19;;;
180208;0600;21;;;
180208;0700;26;;;
180208;0800;23;;;
180208;0900;25;;;
180208;1000;25;;;
180208;1100;26;;;
180208;1200;12;;;
180208;1300;15;;;
180208;1400;16;;;
180208;1500;11;;;
180208;1600;12;;;
180208;1700;16;;;
180208;1800;15;;;
180208;1900;16;;;
180208;2000;16;;;
180208;2100;17;;;
180208;2200;17;;;
180208;2300;16;;;
180209;0000;15;;;
180209;0100;17;;;
180209;0200;14;;;
180209;0300;19;;;
180209;0400;19;;;
180209;0500;18;;;
180209;0600;17;;;
180209;0700;20;;;
180209;0800;21;;;
180209;0900;22;;;
180209;1000;19;;;
180209;1100;19;;;
180209;1200;10;;;
180209;1300;8;;;
180209;1400;7;;;
180209;1500;7;;;
180209;1600;10;;;
180209;1700;8;;;
180209;1800;5;;;
180209;1900;11;;;
180209;2000;13;;;
180209;2100;9;;;
180209;2200;6;;;
180209;2300;15;;;
180210;0000;13;;;
180210;0100;15;;;
180210;0200;16;;;
180210;0300;11;;;
180210;0400;9;;;
180210;0500;12;;;
180210;0600;15;;;
180210;0700;20;;;
180210;0800;12;;;
180210;0900;15;;;
180210;1000;18;;;
180210;1100;10;;;
180210;1200;14;;;
180210;1300;10;;;
180210;1400;5;;;
180210;1500;1;;;
180210;1600;5;;;
180210;1700;4;;;
180210;1800;6;;;
180210;1900;9;;;
180210;2000;8;;;
180210;2100;15;;;
180210;2200;20;;;
180210;2300;15;;;
180211;0000;27;;;
180211;0100;14;;;
180211;0200;18;;;
180211;0300;13;;;
180211;0400;10;;;
180211;0500;10;;;
180211;0600;10;;;
180211;0700;10;;;
180211;0800;11;;;
180211;0900;9;;;
180211;1000;7;;;
180211;1100;8;;;
180211;1200;10;;;
180211;1300;10;;;
180211;1400;9;;;
180211;1500;58;;;
180211;1600;21;;;
180211;1700;5;;;
180211;1800;6;;;
180211;1900;13;;;
180211;2000;21;;;
180211;2100;38;;;
180211;2200;24;;;
180211;2300;13;;;
180212;0000;18;;;
180212;0100;15;;;
180212;0200;14;;;
180212;0300;10;;;
180212;0400;12;;;
180212;0500;16;;;
180212;0600;20;;;
180212;0700;19;;;
180212;0800;11;;;
180212;0900;17;;;
180212;1000;14;;;
180212;1100;14;;;
180212;1200;20;;;
180212;1300;18;;;
180212;1400;18;;;
180212;1500;12;;;
180212;1600;24;;;
180212;1700;13;;;
180212;1800;20;;;
180212;1900;29;;;
180212;2000;27;;;
180212;2100;18;;;
180212;2200;20;;;
180212;2300;21;;;
180213;0000;21;;;
180213;0100;23;;;
180213;0200;20;;;
180213;0300;16;;;
180213;0400;21;;;
180213;0500;18;;;
180213;0600;19;;;
180213;0700;21;;;
180213;0800;24;;;
180213;0900;20;;;
180213;1000;20;;;
180213;1100;27;;;
180213;1200;29;;;
180213;1300;24;;;
180213;1400;24;;;
180213;1500;23;;;
180213;1600;22;;;
180213;1700;19;;;
180213;1800;17;;;
180213;1900;17;;;
180213;2000;19;;;
180213;2100;17;;;
180213;2200;19;;;
180213;2300;17;;;
180214;0000;20;;;
180214;0100;22;;;
180214;0200;25;;;
180214;0300;25;;;
180214;0400;26;;;
180214;0500;24;;;
180214;0600;30;;;
180214;0700;27;;;
180214;0800;27;;;
180214;0900;25;;;
180214;1000;23;;;
180214;1100;27;;;
180214;1200;24;;;
180214;1300;24;;;
180214;1400;21;;;
180214;1500;18;;;
180214;1600;16;;;
180214;1700;16;;;
180214;1800;17;;;
180214;1900;22;;;
180214;2000;22;;;
180214;2100;23;;;
180214;2200;22;;;
180214;2300;22;;;
180215;0000;15;;;
180215;0100;20;;;
180215;0200;19;;;
180215;0300;18;;;
180215;0400;21;;;
180215;0500;18;;;
180215;0600;22;;;
180215;0700;24;;;
180215;0800;31;;;
180215;0900;28;;;
180215;1000;24;;;
180215;1100;33;;;
180215;1200;26;;;
180215;1300;25;;;
180215;1400;22;;;
180215;1500;19;;;
180215;1600;16;;;
180215;1700;16;;;
180215;1800;18;;;
180215;1900;16;;;
180215;2000;22;;;
180215;2100;30;;;
180215;2200;27;;;
180215;2300;25;;;
180216;0000;24;;;
180216;0100;21;;;
180216;0200;21;;;
180216;0300;21;;;
180216;0400;21;;;
180216;0500;25;;;
180216;0600;29;;;
180216;0700;30;;;
180216;0800;27;;;
180216;0900;27;;;
180216;1000;45;;;
180216;1100;27;;;
180216;1200;14;;;
180216;1300;21;;;
180216;1400;20;;;
180216;1500;19;;;
180216;1600;18;;;
180216;1700;21;;;
180216;1800;19;;;
180216;1900;15;;;
180216;2000;17;;;
180216;2100;20;;;
180216;2200;21;;;
180216;2300;15;;;
180217;0000;16;;;
180217;0100;17;;;
180217;0200;18;;;
180217;0300;21;;;
180217;0400;17;;;
180217;0500;20;;;
180217;0600;26;;;
180217;0700;19;;;
180217;0800;23;;;
180217;0900;29;;;
180217;1000;28;;;
180217;1100;19;;;
180217;1200;13;;;
180217;1300;13;;;
180217;1400;13;;;
180217;1500;14;;;
180217;1600;14;;;
180217;1700;11;;;
180217;1800;10;;;
180217;1900;15;;;
180217;2000;9;;;
180217;2100;9;;;
180217;2200;13;;;
180217;2300;13;;;
180218;0000;10;;;
180218;0100;12;;;
180218;0200;15;;;
180218;0300;10;;;
180218;0400;9;;;
180218;0500;8;;;
180218;0600;12;;;
180218;0700;19;;;
180218;0800;15;;;
180218;0900;12;;;
180218;1000;13;;;
180218;1100;14;;;
180218;1200;9;;;
180218;1300;8;;;
180218;1400;8;;;
180218;1500;6;;;
180218;1600;6;;;
180218;1700;10;;;
180218;1800;13;;;
180218;1900;11;;;
180218;2000;7;;;
180218;2100;6;;;
180218;2200;5;;;
180218;2300;4;;;
180219;0000;2;;;
180219;0100;2;;;
180219;0200;4;;;
180219;0300;8;;;
180219;0400;7;;;
180219;0500;7;;;
180219;0600;9;;;
180219;0700;10;;;
180219;0800;21;;;
180219;0900;19;;;
180219;1000;25;;;
180219;1100;;;;
180219;1200;10;;;
180219;1300;8;;;
180219;1400;10;;;
180219;1500;11;;;
180219;1600;7;;;
180219;1700;12;;;
180219;1800;12;;;
180219;1900;20;;;
180219;2000;14;;;
180219;2100;10;;;
180219;2200;8;;;
180219;2300;7;;;
180220;0000;6;;;
180220;0100;8;;;
180220;0200;9;;;
180220;0300;8;;;
180220;0400;6;;;
180220;0500;11;;;
180220;0600;13;;;
180220;0700;8;;;
180220;0800;11;;;
180220;0900;11;;;
180220;1000;8;;;
180220;1100;11;;;
180220;1200;9;;;
180220;1300;6;;;
180220;1400;5;;;
180220;1500;6;;;
180220;1600;4;;;
180220;1700;3;;;
180220;1800;5;;;
180220;1900;5;;;
180220;2000;6;;;
180220;2100;6;;;
180220;2200;7;;;
180220;2300;6;;;
180221;0000;7;;;
180221;0100;7;;;
180221;0200;7;;;
180221;0300;8;;;
180221;0400;7;;;
180221;0500;7;;;
180221;0600;7;;;
180221;0700;9;;;
180221;0800;12;;;
180221;0900;12;;;
180221;1000;13;;;
180221;1100;16;;;
180221;1200;11;;;
180221;1300;12;;;
180221;1400;11;;;
180221;1500;7;;;
180221;1600;12;;;
180221;1700;13;;;
180221;1800;10;;;
180221;1900;9;;;
180221;2000;13;;;
180221;2100;9;;;
180221;2200;11;;;
180221;2300;9;;;
180222;0000;9;;;
180222;0100;8;;;
180222;0200;10;;;
180222;0300;11;;;
180222;0400;8;;;
180222;0500;8;;;
180222;0600;12;;;
180222;0700;17;;;
180222;0800;18;;;
180222;0900;7;;;
180222;1000;18;;;
180222;1100;17;;;
180222;1200;11;;;
180222;1300;11;;;
180222;1400;8;;;
180222;1500;7;;;
180222;1600;11;;;
180222;1700;11;;;
